ID,Level,Subsystem,Title,Parents,Handbook Ref,Document
L0-VEH-05,L0,Vehicle,Batteries brightly coloured and removable without deconstruction,External,5.3.6,L0_Competition_Requirements.md
L0-VEH-06,L0,Vehicle,All fasteners safety wired Loctited or nylon locked,External,Appendix B,L0_Competition_Requirements.md
L0-VEH-07,L0,Vehicle,No parts depart in flight; no FOD,External,5.3.9,L0_Competition_Requirements.md
L0-VEH-08,L0,Vehicle,Personnel clear of prop arc when powered; software disarm insufficient,External,"5.3.10, Appendix B",L0_Competition_Requirements.md
L0-VEH-09,L0,Vehicle,No battery swap or recharge on Mission Clock,External,"5.3.6, 3.1.3",L0_Competition_Requirements.md
L0-VEH-10,L0,Vehicle,Transport sizing tiers Personal Item 50 / Carry-On 25 / Check-In 10 pts,External,3.4.2,L0_Competition_Requirements.md
L0-VEH-11,L0,Vehicle,Unpack to flight ready in 3 minutes with max 4 personnel,External,3.4.2,L0_Competition_Requirements.md
L0-VEH-12,L0,Vehicle,Toolless unpacking (25 pts),External,3.4.2,L0_Competition_Requirements.md
L0-VEH-13,L0,Vehicle,Every individually packaged battery under 100 Wh (75 pts),External,3.4.3,L0_Competition_Requirements.md
L0-SAF-01,L0,Safety,Autonomous RTH/RTL activatable by Safety Pilot and GCS Operator,External,"5.3.8, Appendix B",L0_Competition_Requirements.md
L0-SAF-02,L0,Safety,Autonomous flight termination activatable by both operators,External,"5.3.8, Appendix B",L0_Competition_Requirements.md
L0-SAF-03,L0,Safety,Automatic RTH/RTL after 15 s comms loss,External,Appendix B,L0_Competition_Requirements.md
L0-SAF-04,L0,Safety,Automatic flight termination after 90 s comms loss,External,Appendix B,L0_Competition_Requirements.md
L0-SAF-05,L0,Safety,Manual Safety Pilot takeoff and override at any time,External,5.3.1,L0_Competition_Requirements.md
L0-SAF-06,L0,Safety,Safety-critical functions onsite with no internet or cloud dependency,External,"5.3.5, Appendix B",L0_Competition_Requirements.md
L0-SAF-07,L0,Safety,Pass safety inspection before flight,External,"5.2.1, Appendix B",L0_Competition_Requirements.md
L0-SAF-08,L0,Safety,Battery specs MSDS disposal procedures and handling discipline,External,5.2.2,L0_Competition_Requirements.md
L0-SAF-09,L0,Safety,PPE checklists first aid and fire extinguisher on site,External,5.2,L0_Competition_Requirements.md
L0-SAF-10,L0,Safety,Prepared to secure equipment against sudden weather,External,5.1.12,L0_Competition_Requirements.md
L0-SAF-11,L0,Safety,Avoid other teams UAS; up to two aircraft in airspace,External,5.3.7,L0_Competition_Requirements.md
L0-SAF-12,L0,Safety,Operate with autonomy while retaining manual takeoff capability,External,5.3.1,L0_Competition_Requirements.md
L0-FLT-01,L0,Flight,Fly waypoints within 100 ft with threshold configured in autopilot,External,3.0.1,L0_Competition_Requirements.md
L0-FLT-02,L0,Flight,GCS waypoint threshold configured below 50 ft,External,Appendix B,L0_Competition_Requirements.md
L0-FLT-03,L0,Flight,150 ft turn radius and remain in Flight Boundary,External,3.0.1,L0_Competition_Requirements.md
L0-FLT-04,L0,Flight,20 degree climb and descent angles,External,3.0.1,L0_Competition_Requirements.md
L0-FLT-05,L0,Flight,Above 150 ft AGL when more than 500 ft from runway,External,3.0.1,L0_Competition_Requirements.md
L0-FLT-06,L0,Flight,Remain in Flight Boundary polygon and 150-400 ft AGL band or mission terminated,External,3.0.4,L0_Competition_Requirements.md
L0-FLT-07,L0,Flight,Takeoff and land on assigned runway; Runway 2 is 40x40 ft VTOL only,External,"3.0.1, 3.0.2",L0_Competition_Requirements.md
L0-FLT-08,L0,Flight,Operate in any airfield winds and temperatures to 110 F,External,5.3.11,L0_Competition_Requirements.md
L0-FLT-09,L0,Flight,September average wind 14 mph; no precipitation ops; fog with 3 mi visibility,External,5.3.11,L0_Competition_Requirements.md
L0-FLT-10,L0,Flight,Terrain 633-748 ft MSL; 2 degrees west deviation; trees to 100 ft AGL,External,3.0.3,L0_Competition_Requirements.md
L0-FLT-11,L0,Flight,Flight Boundary 11-vertex polygon; Search Boundary ~10 acres,External,"3.0.4, 3.0.5",L0_Competition_Requirements.md
L0-MSN-01,L0,Mission,45 minute Mission Time including setup; no setup before clock,External,3.1.1,L0_Competition_Requirements.md
L0-MSN-02,L0,Mission,Clock stops on runway cleared airspace relinquished deliverables submitted,External,3.1.1,L0_Competition_Requirements.md
L0-MSN-03,L0,Mission,10 minute teardown from flight line tent,External,3.1.2,L0_Competition_Requirements.md
L0-MSN-04,L0,Mission,All intended laps before Search Boundary entry; at least one lap first,External,3.0.9,L0_Competition_Requirements.md
L0-MSN-05,L0,Mission,Waypoint sequences for both flight lines issued at Check-In,External,3.2.2,L0_Competition_Requirements.md
L0-END-01,L0,Endurance,One successful takeoff and landing (20 pts),External,"3.2.1, 3.2.3",L0_Competition_Requirements.md
L0-END-02,L0,Endurance,All takeoffs and landings fully autonomous by single command (30 pts),External,"3.2.1, 3.2.3",L0_Competition_Requirements.md
L0-END-03,L0,Endurance,Endurance scores 200 x (laps/10)^2 up to 10 laps,External,3.2.3,L0_Competition_Requirements.md
L0-END-04,L0,Endurance,Lap is up to 15 waypoints and about 2 miles; within 100 ft of each,External,3.2.2,L0_Competition_Requirements.md
L0-END-05,L0,Endurance,Laps in order fully autonomous; no partial credit; count locks on Search entry,External,3.2.2,L0_Competition_Requirements.md
L0-OPR-01,L0,Operators,Operators score 200 x min(1 (4-O)/2); 4 operators scores zero,External,3.3.1,L0_Competition_Requirements.md
L0-OPR-02,L0,Operators,Safety Pilot and GCS Operator perform no other task in flight,External,3.3,L0_Competition_Requirements.md
L0-OPR-03,L0,Operators,Non-operators observe only; assignments declared and fixed,External,3.3,L0_Competition_Requirements.md
L0-MAP-01,L0,Mapping,Submit map via USB within Mission Time,External,3.5.1,L0_Competition_Requirements.md
L0-MAP-02,L0,Mapping,Map is png or jpeg with team name in filename,External,3.5.1,L0_Competition_Requirements.md
L0-MAP-03,L0,Mapping,Map scores 0-150 on coverage projection accuracy and stitching,External,3.5.2,L0_Competition_Requirements.md
L0-MAP-04,L0,Mapping,Map exceeds area and resolution of a single photograph,External,3.5,L0_Competition_Requirements.md
L0-MAP-05,L0,Mapping,No ground-based imaging sensors substituting for airborne payload,External,5.3.5,L0_Competition_Requirements.md
L0-SDD-01,L0,Delivery,Carry all delivery objects simultaneously; no landing to reload,External,3.6,L0_Competition_Requirements.md
L0-SDD-02,L0,Delivery,Objects are 155 g GP908 beacon and 255 g 8 oz water bottle,External,3.6,L0_Competition_Requirements.md
L0-SDD-03,L0,Delivery,Each delivery payload 2 lb or less including all separating hardware,External,"3.6.1, Appendix B",L0_Competition_Requirements.md
L0-SDD-04,L0,Delivery,Payload has no means of sustaining flight,External,"3.6.1, Appendix B",L0_Competition_Requirements.md
L0-SDD-05,L0,Delivery,Freefall delivery not credited; retardant mechanism required,External,3.6.1,L0_Competition_Requirements.md
L0-SDD-06,L0,Delivery,Payload lands undamaged and is safe for humans to be present and handle,External,3.6.1,L0_Competition_Requirements.md
L0-SDD-07,L0,Delivery,Judge separates object from payload without tools or instructions,External,3.6.1,L0_Competition_Requirements.md
L0-SDD-08,L0,Delivery,Remain above 150 ft AGL while conducting deliveries,External,3.6,L0_Competition_Requirements.md
L0-SDD-09,L0,Delivery,At least one full waypoint lap before any delivery,External,"3.6, 3.6.3",L0_Competition_Requirements.md
L0-SDD-10,L0,Delivery,Detect mannequin for bottle and tent for beacon; any pose and occlusion,External,3.6.2,L0_Competition_Requirements.md
L0-SDD-11,L0,Delivery,Per delivery 20 survive + 50 within 50 ft + 30 correct target,External,3.6.3,L0_Competition_Requirements.md
L0-SDD-12,L0,Delivery,Judges may occupy Search Boundary; 50 ft radius may be marked,External,3.6,L0_Competition_Requirements.md
L0-GCS-01,L0,GCS,Judge-viewable map display of boundaries position and competition elements,External,3.0.6,L0_Competition_Requirements.md
L0-GCS-02,L0,GCS,Display position ground speed in knots and altitude in feet AGL,External,"3.0.6, Appendix B",L0_Competition_Requirements.md
L0-GCS-03,L0,GCS,Continuous uninterrupted judge access or no takeoff / forced landing,External,"3.0.6, 3.0.8",L0_Competition_Requirements.md
L0-GCS-04,L0,GCS,No ground equipment taller than 15 ft,External,5.3.5,L0_Competition_Requirements.md
L0-PEN-01,L0,Penalties,Excess time 0.5 percent of mission points per second,External,"3.8.1, 3.7",L0_Competition_Requirements.md
L0-PEN-02,L0,Penalties,Parts falling off 10 percent per item,External,3.8.2,L0_Competition_Requirements.md
L0-PEN-03,L0,Penalties,Crash or collision 50 percent,External,3.8.3,L0_Competition_Requirements.md
L0-PEN-04,L0,Penalties,Unsafe operations 50 percent per infraction,External,3.8.4,L0_Competition_Requirements.md
L0-PEN-05,L0,Penalties,Safety-critical boundary breach terminates mission,External,3.8.5,L0_Competition_Requirements.md
L0-PEN-06,L0,Penalties,Manual takeover requires lap restart,External,3.8.6,L0_Competition_Requirements.md
MAST-L1-01,L1,System,All-up weight target 15.0 lb and never above 35.0 lb,"L0-VEH-02, L0-VEH-03",,L1_System_Requirements.md
MAST-L1-02,L1,System,Stow within Carry-On envelope 559 x 356 x 229 mm including GSE,L0-VEH-10,,L1_System_Requirements.md
MAST-L1-03,L1,System,Assemble toolless in 180 s with 2 people,"L0-VEH-11, L0-VEH-12, L0-OPR-01",,L1_System_Requirements.md
MAST-L1-04,L1,System,Cruise 25 m/s true airspeed at max weight and 110 F,"L0-END-03, L0-END-04, L0-MSN-01",,L1_System_Requirements.md
MAST-L1-05,L1,System,32.19 km cruise plus mapping search and two deliveries with 20 percent reserve,"L0-END-03, L0-VEH-09, L0-MAP-01, L0-SDD-01",,L1_System_Requirements.md
MAST-L1-06,L1,System,Sustain 45.7 m radius turn at 25 m/s with 1.3x stall margin,L0-FLT-03,,L1_System_Requirements.md
MAST-L1-07,L1,System,20 degree climb and descent angle,L0-FLT-04,,L1_System_Requirements.md
MAST-L1-08,L1,System,Operate 150-400 ft AGL referenced to varying terrain,"L0-FLT-05, L0-FLT-06, L0-FLT-10",,L1_System_Requirements.md
MAST-L1-09,L1,System,VTOL from 12.2 m square pad with 3.0 m CEP touchdown,L0-FLT-07,,L1_System_Requirements.md
MAST-L1-10,L1,System,Transition in 10 s within 100 m corridor and 15 m altitude excursion,"L0-FLT-06, L0-SAF-11",,L1_System_Requirements.md
MAST-L1-11,L1,System,Hover hold 3.0 m in 6.3 m/s wind gusting 9.8 m/s; controllable to 8.5 m/s,"L0-FLT-08, L0-FLT-09",,L1_System_Requirements.md
MAST-L1-12,L1,System,Full performance to 43.3 C with no thermal derate,L0-FLT-08,,L1_System_Requirements.md
MAST-L1-13,L1,System,Full mission autonomy beyond single takeoff and landing commands,"L0-END-02, L0-END-05, L0-OPR-02, L0-PEN-06",,L1_System_Requirements.md
MAST-L1-14,L1,System,Operable end to end by exactly 2 operators,"L0-OPR-01, L0-OPR-02",,L1_System_Requirements.md
MAST-L1-15,L1,System,Waypoints within 30.5 m with acceptance radius below 15.2 m and 5 m nav error,"L0-FLT-01, L0-FLT-02",,L1_System_Requirements.md
MAST-L1-16,L1,System,RTL and termination from both operators plus 15 s and 90 s auto triggers,"L0-SAF-01, L0-SAF-02, L0-SAF-03, L0-SAF-04, L0-SAF-06",,L1_System_Requirements.md
MAST-L1-17,L1,System,Place each payload within 15.2 m of target from above 45.7 m AGL at 10 m CEP,"L0-SDD-08, L0-SDD-11",,L1_System_Requirements.md
MAST-L1-18,L1,System,Continuous link with no outage above 5.0 s under uncoordinated interference,"L0-SAF-03, L0-REG-04, L0-REG-05, L0-GCS-04",,L1_System_Requirements.md
MAST-L1-19,L1,System,Detect classify and geolocate mannequin and tent to 5.0 m,"L0-SDD-10, L0-SDD-11",,L1_System_Requirements.md
MAST-L1-20,L1,System,Autonomous orthomosaic at 2.0 cm/px exported to USB in Mission Time,"L0-MAP-01, L0-MAP-02, L0-MAP-03, L0-MAP-04, MAST-L1-14",,L1_System_Requirements.md
MAST-L1-21,L1,System,330 Wh installed across sub-100 Wh accessible brightly coloured packs,"L0-VEH-05, L0-VEH-13, MAST-L1-05",,L1_System_Requirements.md
MAST-L1-22,L1,System,1.72 g limit load with 1.5 factor of safety plus hover and landing cases,"L0-VEH-07, L0-PEN-02, L0-PEN-03",,L1_System_Requirements.md
MAST-L1-23,L1,System,No part departure; all fasteners positively retained,"L0-VEH-06, L0-VEH-07, L0-PEN-02",,L1_System_Requirements.md
MAST-L1-24,L1,System,Physical propeller restraint or motor power disconnect,L0-VEH-08,,L1_System_Requirements.md
MAST-L1-25,L1,System,Maintain separation from second UAS with GCS situational awareness,"L0-SAF-11, L0-PEN-03",,L1_System_Requirements.md
MAST-L1-26,L1,System,FAA registration marking and Remote ID broadcast,"L0-REG-01, L0-REG-02",,L1_System_Requirements.md
MAST-L1-27,L1,System,Configuration frozen at Proof of Flight Readiness within 5 percent,L0-ELG-03,,L1_System_Requirements.md
MAST-L1-28,L1,System,All safety-critical functions onsite with no cloud dependency,L0-SAF-06,,L1_System_Requirements.md
MAST-L2-AIR-01,L2,Airframe,Structural mass allocation 1.60 kg tracked on measured mass properties,"MAST-L1-01, MAST-L1-27",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-02,L2,Airframe,Wing area 0.45 m2 with CL_max at least 1.2,"MAST-L1-04, MAST-L1-06",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-03,L2,Airframe,Aspect ratio at least 6.5,"MAST-L1-04, MAST-L1-05",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-04,L2,Airframe,1.72 g limit load with 1.5 FoS plus hover gust case sizing booms,"MAST-L1-22, MAST-L1-06, MAST-L1-11",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-05,L2,Airframe,Withstand 2.0 m/s vertical landing impact at max weight,"MAST-L1-09, L0-END-01",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-06,L2,Airframe,Max 4 wing segments under 550 mm stowing in one 559 x 356 x 229 mm envelope,"MAST-L1-02, L0-VEH-10",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-07,L2,Airframe,Joints toolless under 50 N positively locked with engagement indication,"MAST-L1-03, MAST-L1-23, L0-VEH-12",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-08,L2,Airframe,Max 8 field joints each rated 500 assembly cycles,MAST-L1-03,,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-09,L2,Airframe,Threaded fasteners retained; field joints use captive non-threaded locks,"L0-VEH-06, MAST-L1-23",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-10,L2,Airframe,External battery bays retaining 2.58 g all axes thermally isolated,"L0-VEH-05, MAST-L1-21, MAST-L1-22",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-11,L2,Airframe,Stable hover-attitude ground rest with prop arcs clear and interlock hard points,"MAST-L1-09, MAST-L1-24",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-12,L2,Airframe,Ground-resting structure integral or stowing within envelope,"MAST-L1-02, MAST-L1-03",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-13,L2,Airframe,Control authority for 54.3 degree bank across full CG range; sealed hinges,"MAST-L1-06, MAST-L2-PLD-16",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-14,L2,Airframe,CG within limits in both attitudes across four payload load states,"MAST-L1-10, MAST-L2-PLD-16",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-15,L2,Airframe,External FAA registration marking,"L0-REG-01, MAST-L1-26",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-16,L2,Airframe,Retain structural properties after 43.3 C solar soak,MAST-L1-12,,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-17,L2,Airframe,Unobstructed camera aperture in cruise attitude,"MAST-L2-PER-02, MAST-L2-PER-07",,SUB-AIR_Airframe_Structures.md
MAST-L2-AIR-18,L2,Airframe,Keyed blind-mate connectors engaging with joint motion; no sharp edges,"MAST-L1-03, MAST-L2-AIR-07",,SUB-AIR_Airframe_Structures.md
MAST-L2-PRP-01,L2,Propulsion,133 N hover thrust for thrust-to-weight of 2.0,"MAST-L1-09, MAST-L1-11",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-02,L2,Propulsion,311 W cruise power sustained 1900 s,"MAST-L1-04, MAST-L1-05",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-03,L2,Propulsion,1270 W climb power for 20 degree angle at 25 m/s,MAST-L1-07,,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-04,L2,Propulsion,25 N-m differential-thrust control moment in hover,"MAST-L1-11, MAST-L1-09",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-05,L2,Propulsion,90 percent thrust step response within 100 ms with active braking,"MAST-L1-11, MAST-L1-10",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-06,L2,Propulsion,Rotor diameter under 355 mm with disk area at least 0.25 m2,"MAST-L1-02, MAST-L1-05",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-07,L2,Propulsion,Transition in 10 s with 15 m altitude excursion,MAST-L1-10,,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-08,L2,Propulsion,Deterministic transition schedule on dedicated airspeed not GNSS,"MAST-L1-13, MAST-L1-10",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-09,L2,Propulsion,Transition abort to previous stable mode on logged parameter thresholds,"MAST-L1-10, L0-PEN-03",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-10,L2,Propulsion,Continuous cruise and 180 s hover thermal capability at 43.3 C with logging,MAST-L1-12,,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-11,L2,Propulsion,Single rotor loss yields controlled descent not departure,"L0-SAF-02, L0-PEN-03",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-12,L2,Propulsion,Positive propeller retention inspected each flight,"L0-VEH-07, MAST-L1-23",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-13,L2,Propulsion,Accept physical prop restraint or motor power disconnect,"MAST-L1-24, L0-VEH-08",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-14,L2,Propulsion,Motors integral to boom segments; rotor positions keyed against reversal,"MAST-L1-03, MAST-L2-AIR-08",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-15,L2,Propulsion,Propulsion outputs isolated from payload release outputs,MAST-L2-PLD-11,,SUB-PRP_Propulsion_Transition.md
MAST-L2-PRP-16,L2,Propulsion,First bending mode above 2.5x blade passage frequency,"MAST-L2-PRP-10, MAST-L2-PER-02",,SUB-PRP_Propulsion_Transition.md
MAST-L2-PWR-01,L2,Power,330 Wh installed 293 Wh usable at 180 Wh/kg for 1.83 kg pack mass,"MAST-L1-05, MAST-L1-21, MAST-L1-01",,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-02,L2,Power,Every packaged battery below 100 Wh of commercial lithium chemistry,"L0-VEH-13, MAST-L1-21, L0-VEH-01",,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-03,L2,Power,Per-pack ideal-diode or FET isolation tolerating mismatched charge,"MAST-L1-21, L0-MSN-01",,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-04,L2,Power,59 A continuous at end-of-discharge with 1.5x pack margin and 30 C rise limit,"MAST-L2-PRP-01, MAST-L1-12",,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-05,L2,Power,Brightly coloured packs,L0-VEH-05,,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-06,L2,Power,Pack removal by hand in 15 s on 500-cycle polarity-protected connectors,"L0-VEH-05, MAST-L1-21, MAST-L1-03",,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-07,L2,Power,Avionics bus isolated from propulsion transients at 90 percent efficiency,"MAST-L1-12, MAST-L2-PER-20",,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-08,L2,Power,Redundant avionics regulation for flight controller,"L0-SAF-01, MAST-L1-16",,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-09,L2,Power,Pack temperature within limits at 43.3 C monitored and logged at 1 Hz,"MAST-L1-12, L0-SAF-08",,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-10,L2,Power,Report voltage current and consumed capacity at 2 Hz to 1 percent,"MAST-L1-05, MAST-L2-GCS-04",,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-11,L2,Power,Manual propulsion disconnect verifiable from outside prop arc,"MAST-L1-24, L0-VEH-08",,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-12,L2,Power,Hard copy battery documentation and LiPo bags for every pack,L0-SAF-08,,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-13,L2,Power,No battery service on Mission Clock,L0-VEH-09,,SUB-PWR_Power_Electrical.md
MAST-L2-PWR-14,L2,Power,Wiring and connectors secured against departure in flight,"L0-VEH-07, MAST-L1-23",,SUB-PWR_Power_Electrical.md
MAST-L2-GNC-01,L2,GNC,Position to 1.5 m on multi-constellation GNSS with RTK growth option,"MAST-L1-15, MAST-L1-17, MAST-L2-PER-15",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-02,L2,GNC,Attitude to 1.0 degree on redundant IMUs with failover,"MAST-L2-PER-15, MAST-L1-11",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-03,L2,GNC,Cross-track error under 5.0 m with acceptance radius below 15.2 m,"MAST-L1-15, L0-FLT-01, L0-FLT-02",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-04,L2,GNC,AGL computed against terrain model not single field datum,"MAST-L1-08, L0-FLT-10",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-05,L2,GNC,Predictive hard geofence with boundaries loadable as parameters,"MAST-L1-08, L0-FLT-06, L0-PEN-05, L0-FLT-11",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-06,L2,GNC,Hover hold 3.0 m horizontal and 1.5 m vertical in gusts,"MAST-L1-11, MAST-L1-09, MAST-L2-PLD-07",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-07,L2,GNC,Wind estimate to 1.5 m/s on dedicated airspeed outside rotor wash,"MAST-L2-PLD-08, MAST-L1-17",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-08,L2,GNC,Single-command autonomous VTOL takeoff and landing to 3.0 m,"L0-END-02, MAST-L1-09, MAST-L1-13",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-09,L2,GNC,Autonomous transitions on natively tailsitter-capable autopilot firmware,"MAST-L1-10, MAST-L1-13",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-10,L2,GNC,RTL and termination independently commandable on independent links,"L0-SAF-01, L0-SAF-02, MAST-L1-16",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-11,L2,GNC,Automatic RTL at 15 s and termination at 90 s comms loss,"L0-SAF-03, L0-SAF-04, MAST-L1-16",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-12,L2,GNC,Termination configuration appropriate to flight mode; confirm with organisers,L0-SAF-02,,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-13,L2,GNC,Manual override available any mode within 200 ms,"L0-SAF-05, L0-SAF-12, L0-PEN-04",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-14,L2,GNC,Failsafe logic executes onboard with no external dependency,"L0-SAF-06, MAST-L1-28",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-15,L2,GNC,Remote ID via self-contained module with own position source,"L0-REG-02, MAST-L1-26",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-16,L2,GNC,Log state and mode transitions at 10 Hz retained for 4 missions,"MAST-L1-27, MAST-L2-PRP-10",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-17,L2,GNC,Sensors unaffected to 43.3 C; static source attitude-insensitive,"MAST-L1-12, MAST-L2-GNC-04",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-18,L2,GNC,Magnetometer 150 mm from high current and calibrated as built,"MAST-L2-GNC-02, MAST-L2-GNC-06",,SUB-GNC_Avionics_GNC.md
MAST-L2-GNC-19,L2,GNC,Expose position speed AGL at 4 Hz; load either flight line in 120 s,"MAST-L2-GCS-02, L0-GCS-02, L0-MSN-05",,SUB-GNC_Avionics_GNC.md
MAST-L2-COM-01,L2,Comms,Bidirectional link everywhere in boundary with no outage above 5.0 s,"MAST-L1-18, L0-SAF-03",,SUB-COM_Communications.md
MAST-L2-COM-02,L2,Comms,15 dB margin at 1.6 km with 100 mW radio and 6 dBi ground antenna,MAST-L1-18,,SUB-COM_Communications.md
MAST-L2-COM-03,L2,Comms,Frequency hopping or dynamic channel selection with selectable maps,"L0-REG-05, MAST-L1-18",,SUB-COM_Communications.md
MAST-L2-COM-04,L2,Comms,Unique non-default network ID and encryption preventing cross-team association,"L0-REG-05, MAST-L1-18",,SUB-COM_Communications.md
MAST-L2-COM-05,L2,Comms,Manual link independent of telemetry in hardware and band,"MAST-L2-GNC-10, MAST-L1-16",,SUB-COM_Communications.md
MAST-L2-COM-06,L2,Comms,No transmission in 462 MHz judge band,L0-REG-04,,SUB-COM_Communications.md
MAST-L2-COM-07,L2,Comms,FCC compliant with maintained RF band plan at safety inspection,"L0-REG-04, L0-SAF-07",,SUB-COM_Communications.md
MAST-L2-COM-08,L2,Comms,Ground antennas and supports under 15 ft,"L0-GCS-04, MAST-L1-18",,SUB-COM_Communications.md
MAST-L2-COM-09,L2,Comms,Carry position speed altitude battery wind mode and target data,"L0-GCS-02, MAST-L2-GCS-02",,SUB-COM_Communications.md
